model,initial_batch_size,cosine_steps,seesaw_steps,step_reduction_fraction
150M,128,25178,15524,0.3834299785527048
150M,256,12589,7756,0.38390658511398845
150M,512,6295,3877,0.38411437648927715
300M,128,50355,31046,0.3834574520901599
300M,256,25178,15511,0.38394630232742866
300M,512,12589,7752,0.38422432282151087
600M,256,50355,31021,0.383953927117466
600M,512,25178,15502,0.3843037572483915
600M,1024,12589,7751,0.3843037572483915
